date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:05	18085/18085	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:34%20GMT	http://wbpreview.com/previews/WB0D95984/index.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/index.html	(from )
14:29:05	46/46	---MCZ	200	added ('OK')	text/plain	date:Sun,%2014%20Oct%202012%2008:40:13%20GMT	http://wbpreview.com/robots.txt		(from )
14:29:06	143430/143430	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:53%20GMT	http://wbpreview.com/previews/WB0D95984/css/bootstrap.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/bootstrap.css	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:07	20800/20800	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:53%20GMT	http://wbpreview.com/previews/WB0D95984/css/theme.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/theme.css	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:08	61133/61133	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Jan%202013%2007:16:49%20GMT	http://wbpreview.com/previews/WB0D95984/css/animate.css	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/css/animate.css	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:08	2898/2898	---M--	200	added ('OK')	image/png	etag:%22510a1a5a-b52%22	http://wbpreview.com/previews/WB0D95984/img/logo.png	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/img/logo.png	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:08	15228/15228	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/blog.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/blog.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:09	12832/12832	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:35%20GMT	http://wbpreview.com/previews/WB0D95984/features.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/features.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:09	20227/20227	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:33%20GMT	http://wbpreview.com/previews/WB0D95984/pricing.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/pricing.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
14:29:10	16810/16810	---MCZ	200	added ('OK')	text/html	date:Thu,%2031%20Jan%202013%2007:16:36%20GMT	http://wbpreview.com/previews/WB0D95984/portfolio.html	C:/My%20Web%20Sites/http_theme/wbpreview.com/previews/WB0D95984/portfolio.html	(from http://wbpreview.com/previews/WB0D95984/index.html)
